iter	Passed	Remaining
0	73	73238
1	73	36797
2	74	24616
3	74	18532
4	74	14870
5	75	12434
6	75	10688
7	75	9379
8	75	8355
9	76	7540
10	76	6877
11	76	6322
12	77	5851
13	77	5454
14	77	5103
15	78	4798
16	78	4531
17	78	4293
18	79	4081
19	79	3889
20	79	3714
21	79	3554
22	80	3409
23	80	3279
24	80	3157
25	81	3042
26	81	2937
27	81	2842
28	82	2749
29	82	2665
30	82	2586
31	83	2511
32	83	2440
33	83	2374
34	83	2311
35	84	2253
36	84	2196
37	84	2144
38	84	2093
39	85	2046
40	85	2001
41	85	1957
42	86	1918
43	86	1879
44	86	1841
45	87	1807
46	87	1772
47	87	1740
48	88	1709
49	88	1679
50	88	1652
51	89	1625
52	89	1598
53	89	1571
54	90	1547
55	90	1524
56	90	1503
57	91	1481
58	91	1460
59	91	1440
60	92	1419
61	92	1398
62	92	1379
63	93	1360
64	93	1342
65	93	1324
66	93	1308
67	94	1291
68	94	1275
69	94	1259
70	95	1244
71	95	1229
72	95	1214
73	95	1200
74	96	1188
75	96	1175
76	96	1161
77	97	1150
78	97	1137
79	97	1125
80	98	1113
81	98	1101
82	98	1088
83	98	1077
84	99	1066
85	99	1055
86	99	1045
87	99	1036
88	100	1026
89	100	1017
90	100	1007
91	101	998
92	101	989
93	101	979
94	101	971
95	102	962
96	102	954
97	102	946
98	103	938
99	103	930
100	103	922
101	103	915
102	104	909
103	104	902
104	105	896
105	105	889
106	105	882
107	105	875
108	106	869
109	106	863
110	107	857
111	107	851
112	107	845
113	107	839
114	108	833
115	108	826
116	108	820
117	109	814
118	109	809
119	109	803
120	109	798
121	110	793
122	110	788
123	110	784
124	111	779
125	111	775
126	112	770
127	112	765
128	112	761
129	113	756
130	113	752
131	113	748
132	114	744
133	114	739
134	114	735
135	115	731
136	115	727
137	115	723
138	116	718
139	116	714
140	116	710
141	116	705
142	117	701
143	117	698
144	117	695
145	118	692
146	118	688
147	119	685
148	119	682
149	119	678
150	120	675
151	120	671
152	120	667
153	120	664
154	121	661
155	121	658
156	122	655
157	122	651
158	122	648
159	122	644
160	123	641
161	123	638
162	123	635
163	124	632
164	124	629
165	124	626
166	125	624
167	125	621
168	125	617
169	125	614
170	126	612
171	126	609
172	126	606
173	127	603
174	127	601
175	127	598
176	128	595
177	128	593
178	128	590
179	128	587
180	129	584
181	129	582
182	129	579
183	130	577
184	130	575
185	130	572
186	131	570
187	131	567
188	131	565
189	132	562
190	132	560
191	132	558
192	132	555
193	133	554
194	133	552
195	134	550
196	134	547
197	134	545
198	134	543
199	135	541
200	135	539
201	136	537
202	136	535
203	136	533
204	137	531
205	137	529
206	137	527
207	137	525
208	138	523
209	138	521
210	138	519
211	139	517
212	139	515
213	139	513
214	140	511
215	140	510
216	140	507
217	141	506
218	141	504
219	141	502
220	141	500
221	142	498
222	142	496
223	142	494
224	143	492
225	143	491
226	143	489
227	143	487
228	144	485
229	144	483
230	144	481
231	145	480
232	145	478
233	145	476
234	146	475
235	146	474
236	146	472
237	147	471
238	147	469
239	147	467
240	147	465
241	148	464
242	148	462
243	148	461
244	149	459
245	149	458
246	149	456
247	150	455
248	150	453
249	150	452
250	151	450
251	151	449
252	151	447
253	151	445
254	152	444
255	152	443
256	152	441
257	153	440
258	153	438
259	153	437
260	154	436
261	154	434
262	154	433
263	155	432
264	155	431
265	155	429
266	156	428
267	156	427
268	156	426
269	157	425
270	157	423
271	157	422
272	158	420
273	158	419
274	158	418
275	158	416
276	159	415
277	159	413
278	159	412
279	159	411
280	160	409
281	160	408
282	160	407
283	160	405
284	161	404
285	161	403
286	161	401
287	161	400
288	162	398
289	162	397
290	162	396
291	162	394
292	163	393
293	163	392
294	163	390
295	164	390
296	164	389
297	164	388
298	164	386
299	165	385
300	165	384
301	165	383
302	166	382
303	166	381
304	166	380
305	167	378
306	167	377
307	167	376
308	167	375
309	168	374
310	168	372
311	168	371
312	168	370
313	168	369
314	169	367
315	169	366
316	169	365
317	169	364
318	170	363
319	170	362
320	170	360
321	170	359
322	171	358
323	171	357
324	171	356
325	171	355
326	172	354
327	172	353
328	172	351
329	172	350
330	173	349
331	173	348
332	173	347
333	173	346
334	174	345
335	174	344
336	174	343
337	174	342
338	175	341
339	175	340
340	175	339
341	175	338
342	176	337
343	176	336
344	176	335
345	176	334
346	177	333
347	177	332
348	177	331
349	177	330
350	178	329
351	178	328
352	179	328
353	179	328
354	180	327
355	180	326
356	180	325
357	180	324
358	181	323
359	181	322
360	181	321
361	182	321
362	182	320
363	182	319
364	183	318
365	183	317
366	183	316
367	183	315
368	184	314
369	184	313
370	184	312
371	184	311
372	185	311
373	185	310
374	185	309
375	185	308
376	186	307
377	186	306
378	186	305
379	186	304
380	187	303
381	187	302
382	187	302
383	187	301
384	187	300
385	188	299
386	188	298
387	188	297
388	188	296
389	189	295
390	189	295
391	189	294
392	189	293
393	190	292
394	190	291
395	190	290
396	190	290
397	191	289
398	191	288
399	191	287
400	191	286
401	192	285
402	192	285
403	192	284
404	192	283
405	193	282
406	193	281
407	193	280
408	193	280
409	194	279
410	194	278
411	194	277
412	194	276
413	195	276
